,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
RORC,-4.543554e-05,3.0,-4.543554e-05,-0.0271939,-0.19567895
RORB,1.9661302e-06,1.0,1.9661302e-06,-0.025813911,0.077830486
RORA,0.0013898128,4.0,0.0013898128,0.01459,-0.31514376
ZNF479,-5.521233e-05,1.0,-5.521233e-05,-0.02747853,0.07715286
NXPE1,0.0,0.0,0.0,-0.02587115,0.21428101
NXPE3,0.0,0.0,0.0,-0.02587115,0.21428101
NXPE4,0.0,0.0,0.0,-0.02587115,0.21428101
ZNF471,7.545005e-05,1.0,7.545005e-05,-0.023674598,0.07870134
ZNF470,0.00048037418,1.0,0.00048037418,-0.011886179,0.08350006
ZNF473,0.022758367,1.0,0.022758367,0.6366855,0.34751472
ZNF474,0.0,0.0,0.0,-0.02587115,0.21428101
GUSB,0.0011708783,6.0,0.0011708783,0.008216234,-0.59068596
NUDT11,0.0,0.0,0.0,-0.02587115,0.21428101
ROR2,0.004983016,1.0,0.004983016,0.119197704,0.1368605
ROR1,0.00081362185,1.0,0.00081362185,-0.0021844525,0.08744935
KIZ,0.0,0.0,0.0,-0.02587115,0.21428101
SLTM,0.0,0.0,0.0,-0.02587115,0.21428101
SFI1,0.0,0.0,0.0,-0.02587115,0.21428101
KIT,-0.000607147,11.0,-0.000607147,-0.043546814,-1.2941263
KPNA7,8.023192e-05,3.0,8.023192e-05,-0.023535386,-0.19418965
KPNA6,8.03235e-06,3.0,8.03235e-06,-0.025637306,-0.19504529
KPNA5,0.0017487041,3.0,0.0017487041,0.025038281,-0.17441674
KPNA4,0.022005662,3.0,0.022005662,0.61477226,0.06564683
KPNA3,0.0001779916,3.0,0.0001779916,-0.02068934,-0.19303112
KPNA2,2.048948e-06,3.0,2.048948e-06,-0.025811499,-0.1951162
KPNA1,-0.0018615825,4.0,-0.0018615825,-0.08006678,-0.35367578
TTC30A,0.0,0.0,0.0,-0.02587115,0.21428101
ERVFRD-1,0.0,0.0,0.0,-0.02587115,0.21428101
UNC119B,0.0,0.0,0.0,-0.02587115,0.21428101
FRS3,0.0,0.0,0.0,-0.02587115,0.21428101
FRS2,3.0375408e-05,3.0,3.0375408e-05,-0.02498684,-0.19478051
TNFRSF17,0.0002460352,2.0,0.0002460352,-0.01870841,-0.0557509
TNFRSF14,4.3047283e-05,4.0,4.3047283e-05,-0.024617929,-0.33110416
MIR92A2,0.0,1.0,0.0,-0.02587115,0.07780718
TTC30B,0.0,0.0,0.0,-0.02587115,0.21428101
TNFRSF18,0.0,1.0,0.0,-0.02587115,0.07780718
TNFRSF19,0.0,1.0,0.0,-0.02587115,0.07780718
ARHGEF5,0.0,0.0,0.0,-0.02587115,0.21428101
TSGA10IP,0.0,0.0,0.0,-0.02587115,0.21428101
MIR199B,0.0,1.0,0.0,-0.02587115,0.07780718
