,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
PHLDA3,mut_important,,,,,
PHLDA3,cnv_del,,,,,
PHLDA3,cnv_amp,,,,,
PHLDA3,promoter,,,,,
UFSP2,mut_important,,,,,
UFSP2,cnv_del,,,,,
UFSP2,cnv_amp,,,,,
UFSP2,promoter,,,,,
GAP43,mut_important,,,,,
GAP43,cnv_del,,,,,
GAP43,cnv_amp,,,,,
GAP43,promoter,,,,,
NABP1,mut_important,,,,,
NABP1,cnv_del,,,,,
NABP1,cnv_amp,,,,,
NABP1,promoter,,,,,
PAMR1,mut_important,,,,,
PAMR1,cnv_del,,,,,
PAMR1,cnv_amp,,,,,
PAMR1,promoter,,,,,
MDK,mut_important,,,,,
MDK,cnv_del,,,,,
MDK,cnv_amp,,,,,
MDK,promoter,,,,,
FBXL13,mut_important,,,,,
FBXL13,cnv_del,,,,,
FBXL13,cnv_amp,,,,,
FBXL13,promoter,,,,,
FBXL12,mut_important,,,,,
FBXL12,cnv_del,,,,,
FBXL12,cnv_amp,,,,,
FBXL12,promoter,,,,,
HRH2,mut_important,,,,,
HRH2,cnv_del,,,,,
HRH2,cnv_amp,,,,,
HRH2,promoter,,,,,
CYP27B1,mut_important,,,,,
CYP27B1,cnv_del,,,,,
CYP27B1,cnv_amp,,,,,
CYP27B1,promoter,,,,,
FBXL17,mut_important,,,,,
FBXL17,cnv_del,,,,,
FBXL17,cnv_amp,,,,,
FBXL17,promoter,,,,,
FBXL16,mut_important,,,,,
FBXL16,cnv_del,,,,,
FBXL16,cnv_amp,,,,,
FBXL16,promoter,,,,,
FBXL19,mut_important,,,,,
FBXL19,cnv_del,,,,,
FBXL19,cnv_amp,,,,,
FBXL19,promoter,,,,,
FAM169B,mut_important,,,,,
FAM169B,cnv_del,,,,,
FAM169B,cnv_amp,,,,,
FAM169B,promoter,,,,,
GHDC,mut_important,,,,,
GHDC,cnv_del,,,,,
GHDC,cnv_amp,,,,,
GHDC,promoter,,,,,
SDK1,mut_important,,,,,
SDK1,cnv_del,,,,,
SDK1,cnv_amp,,,,,
SDK1,promoter,,,,,
SDK2,mut_important,,,,,
SDK2,cnv_del,,,,,
SDK2,cnv_amp,,,,,
SDK2,promoter,,,,,
GRP,mut_important,,,,,
GRP,cnv_del,,,,,
GRP,cnv_amp,,,,,
GRP,promoter,,,,,
TPRN,mut_important,,,,,
TPRN,cnv_del,,,,,
TPRN,cnv_amp,,,,,
TPRN,promoter,,,,,
THSD4,mut_important,,,,,
THSD4,cnv_del,,,,,
THSD4,cnv_amp,,,,,
THSD4,promoter,,,,,
HPCAL4,mut_important,,,,,
HPCAL4,cnv_del,,,,,
HPCAL4,cnv_amp,,,,,
HPCAL4,promoter,,,,,
THSD1,mut_important,,,,,
THSD1,cnv_del,,,,,
THSD1,cnv_amp,,,,,
THSD1,promoter,,,,,
CHST9,mut_important,,,,,
CHST9,cnv_del,,,,,
CHST9,cnv_amp,,,,,
CHST9,promoter,,,,,
CHST8,mut_important,,,,,
CHST8,cnv_del,,,,,
CHST8,cnv_amp,,,,,
CHST8,promoter,,,,,
COL4A5,mut_important,,,,,
COL4A5,cnv_del,,,,,
COL4A5,cnv_amp,,,,,
COL4A5,promoter,,,,,
COL4A4,mut_important,,,,,
COL4A4,cnv_del,,,,,
COL4A4,cnv_amp,,,,,
COL4A4,promoter,,,,,
COL4A3,mut_important,,,,,
COL4A3,cnv_del,,,,,
COL4A3,cnv_amp,,,,,
COL4A3,promoter,,,,,
COL4A2,mut_important,,,,,
COL4A2,cnv_del,,,,,
COL4A2,cnv_amp,,,,,
COL4A2,promoter,,,,,
COL4A1,mut_important,,,,,
COL4A1,cnv_del,,,,,
COL4A1,cnv_amp,,,,,
COL4A1,promoter,,,,,
