,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
C00353,-4.0263854e-05,3.0,-4.0263854e-05,-0.11127932,-0.132996
C00354,0.06779971,4.0,0.06779971,2.0418627,0.16579893
C00355,0.00049221714,8.0,0.00049221714,-0.09437916,-1.573442
C00356,-0.0005401044,4.0,-0.0005401044,-0.12714353,-0.42633885
C00357,0.0003470895,2.0,0.0003470895,-0.0989853,0.1593722
C00360,7.3618714e-05,2.0,7.3618714e-05,-0.10766486,0.15700267
C00361,-0.0006397446,2.0,-0.0006397446,-0.13030598,0.15082167
C00362,0.012572563,2.0,0.012572563,0.28903344,0.26530114
C00363,2.5937681e-05,2.0,2.5937681e-05,-0.10917819,0.15658955
C00364,6.1183687e-06,2.0,6.1183687e-06,-0.10980722,0.15641782
C00365,-1.1258218e-06,2.0,-1.1258218e-06,-0.11003714,0.15635505
C00366,-0.0020755266,3.0,-0.0020755266,-0.1758756,-0.15063074
C00369,0.0033879625,6.0,0.0033879625,-0.0024724181,-0.9703275
C00372,0.0011052619,2.0,0.0011052619,-0.074922,0.16594146
C00374,-0.0005573849,3.0,-0.0005573849,-0.127692,-0.13747664
C00376,-1.8205461e-05,4.0,-1.8205461e-05,-0.11057923,-0.4218168
C00378,0.00029649917,5.0,0.00029649917,-0.10059096,-0.708102
C00379,8.462149e-05,3.0,8.462149e-05,-0.107315645,-0.13191392
C00380,7.7648865e-06,2.0,7.7648865e-06,-0.109754965,0.15643208
C00381,-6.726891e-05,2.0,-6.726891e-05,-0.11213643,0.15578194
C00383,-0.00014164226,4.0,-0.00014164226,-0.11449693,-0.4228863
C00385,0.015545808,3.0,0.015545808,0.38339987,0.002051219
C00386,-4.5635134e-06,3.0,-4.5635134e-06,-0.11014625,-0.13268666
C00387,2.5496754e-05,3.0,2.5496754e-05,-0.10919218,-0.1324262
C00388,0.0005176184,9.0,0.0005176184,-0.09357296,-1.8622338
C00389,-0.00025702655,2.0,-0.00025702655,-0.11815906,0.15413778
C00390,-0.00047794593,3.0,-0.00047794593,-0.12517072,-0.13678834
C00392,1.2206871e-05,3.0,1.2206871e-05,-0.109613985,-0.13254134
C00394,3.3145005e-07,3.0,3.3145005e-07,-0.10999089,-0.13264425
C00398,0.046312407,3.0,0.046312407,1.3598869,0.2686318
C00399,-0.00043283703,2.0,-0.00043283703,-0.12373903,0.15261444
C00400,-6.857173e-05,2.0,-6.857173e-05,-0.112177774,0.15577066
C00401,-5.3034448e-08,2.0,-5.3034448e-08,-0.1100031,0.15636434
C00402,-1.5177575e-06,2.0,-1.5177575e-06,-0.11004958,0.15635166
C00406,-3.9292136e-06,2.0,-3.9292136e-06,-0.11012612,0.15633075
C00407,-0.0012406874,7.0,-0.0012406874,-0.14937901,-1.299445
C00408,0.00012412823,2.0,0.00012412823,-0.10606176,0.15744032
C00409,0.001456719,3.0,0.001456719,-0.06376728,-0.120025225
C00410,0.28777844,14.0,0.28777844,9.023667,-0.8182907
C00412,-2.7677681e-05,2.0,-2.7677681e-05,-0.11087986,0.15612498
C00415,5.8270884e-06,3.0,5.8270884e-06,-0.10981647,-0.13259664
C00416,0.0942289,12.0,0.0942289,2.8806868,-1.917298
C00417,0.00010909373,3.0,0.00010909373,-0.10653894,-0.13170187
C00418,-3.693064e-06,3.0,-3.693064e-06,-0.11011863,-0.13267912
C00422,0.00013478081,9.0,0.00013478081,-0.105723664,-1.8655509
C00423,-0.00011432463,3.0,-0.00011432463,-0.11362991,-0.1336377
C00424,0.00020835486,4.0,0.00020835486,-0.10338853,-0.41985375
C00426,-0.00037686218,3.0,-0.00037686218,-0.121962465,-0.13591248
C00427,0.005203739,6.0,0.005203739,0.055157676,-0.9545945
C00429,-4.4345365e-05,4.0,-4.4345365e-05,-0.11140887,-0.42204326
C00430,3.8430924e-05,3.0,3.8430924e-05,-0.108781666,-0.13231413
C00431,3.2016992e-06,4.0,3.2016992e-06,-0.1098998,-0.4216313
C00433,-2.5924395e-05,4.0,-2.5924395e-05,-0.11082421,-0.42188367
C00434,8.347565e-06,2.0,8.347565e-06,-0.109736465,0.15643714
C00435,-1.8259227e-05,2.0,-1.8259227e-05,-0.110580936,0.1562066
C00436,-3.7869367e-07,2.0,-3.7869367e-07,-0.110013425,0.15636154
C00437,-4.6139485e-07,2.0,-4.6139485e-07,-0.110016055,0.1563608
C00438,1.0283895e-05,2.0,1.0283895e-05,-0.10967501,0.15645391
C00439,2.1440303e-06,2.0,2.1440303e-06,-0.10993336,0.15638338
C00440,-0.000115975025,2.0,-0.000115975025,-0.11368229,0.15535992
C00441,-2.360596e-05,3.0,-2.360596e-05,-0.11075063,-0.13285166
C00445,-1.526573e-07,2.0,-1.526573e-07,-0.11000626,0.15636349
C00446,0.00017738611,3.0,0.00017738611,-0.10437143,-0.13111013
C00448,-0.00010088294,3.0,-0.00010088294,-0.11320329,-0.13352123
C00449,-9.9864665e-06,2.0,-9.9864665e-06,-0.11031837,0.15627827
C00450,5.758633e-05,2.0,5.758633e-05,-0.108173706,0.15686376
C00455,0.00017905571,2.0,0.00017905571,-0.10431845,0.15791625
C00458,-1.0414445e-06,2.0,-1.0414445e-06,-0.110034466,0.15635578
C00459,4.82387e-06,2.0,4.82387e-06,-0.10984831,0.1564066
C00460,-9.3927594e-07,2.0,-9.3927594e-07,-0.11003122,0.15635666
C00461,1.5621557e-05,2.0,1.5621557e-05,-0.10950561,0.15650016
C00463,2.9949715e-05,3.0,2.9949715e-05,-0.10905085,-0.13238761
C00464,0.0002981803,3.0,0.0002981803,-0.1005376,-0.1300635
C00468,0.000642609,4.0,0.000642609,-0.089605935,-0.4160911
C00469,-0.00075549167,7.0,-0.00075549167,-0.13397962,-1.2952409
C00470,-9.928671e-06,3.0,-9.928671e-06,-0.11031653,-0.13273315
C00471,0.00034422212,2.0,0.00034422212,-0.0990763,0.15934736
C00472,-3.74572e-05,2.0,-3.74572e-05,-0.111190245,0.15604025
C00473,-0.00013209644,3.0,-0.00013209644,-0.11419396,-0.13379169
C00474,1.6838128e-05,3.0,1.6838128e-05,-0.10946699,-0.13250123
C00475,1.4262117e-05,3.0,1.4262117e-05,-0.109548755,-0.13252354
C00476,1.0412741e-06,2.0,1.0412741e-06,-0.109968364,0.15637381
C00479,7.695536e-06,2.0,7.695536e-06,-0.10975716,0.15643148
C00483,0.024980295,4.0,0.024980295,0.6828368,-0.20521455
