,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
GDAP2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GDE1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GDF1,0.0,1.0,0.0,-0.02587115,0.07780718,1
GDF10,0.0,1.0,0.0,-0.02587115,0.07780718,1
GDF11,0.0,1.0,0.0,-0.02587115,0.07780718,1
GDF15,0.0,1.0,0.0,-0.02587115,0.07780718,1
GDF2,0.0,1.0,0.0,-0.02587115,0.07780718,1
GDF3,0.0,1.0,0.0,-0.02587115,0.07780718,1
GDF5,0.0,3.0,0.0,-0.02587115,-0.19514048,1
GDF6,0.0,3.0,0.0,-0.02587115,-0.19514048,1
GDF7,-1.8854192e-06,4.0,-1.8854192e-06,-0.02592604,-0.33163667,1
GDF9,0.0,1.0,0.0,-0.02587115,0.07780718,1
GDI1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GDI2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GDNF,-1.4608504e-05,1.0,-1.4608504e-05,-0.026296442,0.07763406,1
GDPD1,0.00012562334,1.0,0.00012562334,-0.022213921,0.07929593,1
GDPD2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GDPD3,-4.1368072e-05,1.0,-4.1368072e-05,-0.027075484,0.07731693,1
GDPD4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GDPD5,0.0,0.0,0.0,-0.02587115,0.21428101,1
GDPGP1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GEM,0.0,0.0,0.0,-0.02587115,0.21428101,1
GEMIN2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GEMIN4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GEMIN5,0.0,0.0,0.0,-0.02587115,0.21428101,1
GEMIN6,0.0,0.0,0.0,-0.02587115,0.21428101,1
GEMIN7,0.0,0.0,0.0,-0.02587115,0.21428101,1
GEMIN8,0.0,0.0,0.0,-0.02587115,0.21428101,1
GEMIN8P4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GEN1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GET4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFAP,0.0,1.0,0.0,-0.02587115,0.07780718,1
GFER,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFI1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFI1B,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFM1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFM2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFOD1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFOD2,0.0,0.0,0.0,-0.02587115,0.21428101,1
