,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
DHX9,cnv_del,0.0,0.0,0.0,0.0,0.0
DHX9,cnv_amp,0.0,0.0,0.0,0.0,0.0
DHX9,promoter,0.0,0.0,0.0,0.0,0.0
TCOF1,mut_important,0.0,0.0,0.0,0.0,0.0
TCOF1,cnv_del,0.0,0.0,0.0,0.0,0.0
TCOF1,cnv_amp,0.0,0.0,0.0,0.0,0.0
TCOF1,promoter,0.0,0.0,0.0,0.0,0.0
NSRP1,mut_important,0.0,0.0,0.0,0.0,0.0
NSRP1,cnv_del,0.0,0.0,0.0,0.0,0.0
NSRP1,cnv_amp,0.0,0.0,0.0,0.0,0.0
NSRP1,promoter,0.0,0.0,0.0,0.0,0.0
NUP98,mut_important,0.0,0.0,0.0,0.0,0.0
NUP98,cnv_del,0.0,0.0,0.0,0.0,0.0
NUP98,cnv_amp,0.0,0.0,0.0,0.0,0.0
NUP98,promoter,2.0146456e-07,1.9686586e-07,5.6761382e-06,2.1809018e-07,3.472835e-07
XPC,mut_important,0.0,0.0,0.0,0.0,0.0
XPC,cnv_del,0.0,0.0,0.0,0.0,0.0
XPC,cnv_amp,0.0,0.0,0.0,0.0,0.0
XPC,promoter,0.0,0.0,0.0,0.0,0.0
SP1,mut_important,0.0,0.0,0.0,0.0,0.0
SP1,cnv_del,0.0,0.0,0.0,0.0,0.0
SP1,cnv_amp,0.0,0.0,0.0,0.0,0.0
SP1,promoter,1.1826124e-05,1.0543714e-05,0.00063385855,7.727968e-05,0.00012072023
SP2,mut_important,0.0,0.0,0.0,0.0,0.0
SP2,cnv_del,0.0,0.0,0.0,0.0,0.0
SP2,cnv_amp,0.0,0.0,0.0,0.0,0.0
SP2,promoter,0.0,0.0,0.0,0.0,0.0
SP3,mut_important,0.0,0.0,0.0,0.0,0.0
SP3,cnv_del,0.0,0.0,0.0,0.0,0.0
SP3,cnv_amp,0.0,0.0,0.0,0.0,0.0
SP3,promoter,0.0,0.0,0.0,0.0,0.0
SP4,mut_important,0.0,0.0,0.0,0.0,0.0
SP4,cnv_del,0.0,0.0,0.0,0.0,0.0
SP4,cnv_amp,0.0,0.0,0.0,0.0,0.0
SP4,promoter,0.0,0.0,0.0,0.0,0.0
SP5,mut_important,0.0,0.0,0.0,0.0,0.0
SP5,cnv_del,0.0,0.0,0.0,0.0,0.0
SP5,cnv_amp,0.0,0.0,0.0,0.0,0.0
SP5,promoter,0.0,0.0,0.0,0.0,0.0
SP6,mut_important,0.0,0.0,0.0,0.0,0.0
SP6,cnv_del,0.0,0.0,0.0,0.0,0.0
SP6,cnv_amp,0.0,0.0,0.0,0.0,0.0
SP6,promoter,0.0,0.0,0.0,0.0,0.0
SP7,mut_important,0.0,0.0,0.0,0.0,0.0
SP7,cnv_del,0.0,0.0,0.0,0.0,0.0
SP7,cnv_amp,0.0,0.0,0.0,0.0,0.0
SP7,promoter,0.0,0.0,0.0,0.0,0.0
SPPL3,mut_important,0.0,0.0,0.0,0.0,0.0
SPPL3,cnv_del,0.0,0.0,0.0,0.0,0.0
SPPL3,cnv_amp,0.0,0.0,0.0,0.0,0.0
SPPL3,promoter,0.0,0.0,0.0,0.0,0.0
GOLIM4,mut_important,0.0,0.0,0.0,0.0,0.0
GOLIM4,cnv_del,0.0,0.0,0.0,0.0,0.0
GOLIM4,cnv_amp,0.0,0.0,0.0,0.0,0.0
GOLIM4,promoter,0.0,0.0,0.0,0.0,0.0
OPA3,mut_important,0.0,0.0,0.0,0.0,0.0
OPA3,cnv_del,0.0,0.0,0.0,0.0,0.0
OPA3,cnv_amp,0.0,0.0,0.0,0.0,0.0
OPA3,promoter,0.0,0.0,0.0,0.0,0.0
OPA1,mut_important,0.0,0.0,0.0,0.0,0.0
OPA1,cnv_del,0.0,0.0,0.0,0.0,0.0
