,coef
BMP5,0.0
BMP4,-0.00082261075
BMP3,0.0
BMP2,-0.0039579063
BMP1,0.0
MUS81,0.0
DR1,0.0
MTURN,0.0
OR5R1,0.0
C1orf35,0.0
GOLGA8S,0.0
SWT1,0.0
TERF2,0.0
TERF1,0.0
DNAJC18,0.0
RPA2,0.0
NDUFAF1,-4.9149553e-06
GOLGA8G,0.0
GOLGA8F,0.0
GOLGA8B,0.0
RASSF9,0.0
RASSF8,0.0
RASSF1,0.00050954724
PTOV1,0.0
RASSF3,0.0
RASSF2,0.0
RASSF5,-0.0013311692
RASSF4,0.0
RASSF7,0.0
RASSF6,0.0
VMO1,0.0
NHP2,0.0
DDX4,0.0
RSAD2,5.069944e-05
RSAD1,0.0
CHD1,0.0
NFS1,9.296354e-05
CHD3,0.0
CHD2,0.0
CHD5,0.0
CHD4,1.3682881e-05
CHD7,0.0
CHD6,0.0
CHD9,0.0
CHD8,1.8598574e-05
SGCA,0.00024719982
CAP1,0.0
CAP2,0.0
NPC2,-0.00010032562
NPC1,8.162136e-05
SKIV2L,0.0
TTC5,0.0
TTC6,0.0
TTC1,0.0
IL4R,-0.00074029085
BHLHA15,0.0
PIKFYVE,0.00044915068
PRKCE,0.0048751556
C3orf52,0.0
TTC8,0.0
CAPS,0.0
DAG1,5.3102076e-07
DYNC1LI2,8.574281e-05
ELP6,0.0
CHDH,0.0
EFHC1,0.0
CAPG,0.0
TPRKB,0.0
ELP5,0.0
ETHE1,3.3346892e-06
PRDM16,0.0008637306
MPG,0.0
PRDM14,0.0
PRDM15,0.0
PRDM12,0.0
PRDM13,0.0
PRDM10,0.0
PRDM11,0.0
ABCG8,0.011100342
MPO,0.002195062
MPL,0.0
AVP,0.00088948
KRTAP5-3,0.0
MPI,-0.0011969501
MAP4K1,4.8280537e-05
CEACAM3,0.0
SPC25,0.0
POLRMT,0.0
SGSM3,0.0
MPZ,0.0
MCPH1,0.0
KDM1A,-3.670513e-05
KDM1B,0.0
PLRG1,0.0
PUM1,1.0494311e-05
CKS1B,0.0017113517
OR1S1,-8.306584e-06
OR1S2,-2.283653e-06
ASPHD1,0.0
GADL1,0.00012924607
SRGAP2B,0.0
HLX,0.0
QRSL1,0.0020398172
FCER1G,-0.0075022103
BTG4,0.0
BTG3,0.0
BTG2,0.0
BTG1,0.0
DNALI1,-0.00788698
SLA2,0.0
C4orf36,0.0
METAP1,0.0
C4orf33,0.0
SRD5A3,0.004445147
SRD5A2,0.0045677708
SRD5A1,-0.00010556826
ARMT1,0.0
HELLS,0.0
AKAP17A,0.0
FAM49A,0.0
FAM49B,0.0
PDILT,0.0
ZFP36L1,-0.00026762355
ZFP36L2,-0.00013833889
GGA1,-3.9076553e-05
C10orf99,0.0
GGA3,-3.9639588e-05
GGA2,-3.5236622e-05
C15orf48,0.0
ERICH6,0.0
C10orf90,0.0
C15orf40,0.0
C10orf95,0.0
SLC12A6,0.0
FHOD1,2.2674853e-05
FHOD3,0.0
ADH7,-0.0013244984
ADH6,0.0037910778
ADH5,0.00617106
ADH4,0.020484988
PKD2,0.0
PKD1,0.0
ZFP69,5.864105e-05
GJC2,0.0
C4orf3,0.0
ING3,0.0
GJC1,0.0
ZNF138,0.0
PFKFB1,-0.0066223964
