,,coef
THSD1,cnv_del,0.0
THSD1,cnv_amp,0.0
THSD1,promoter,0.0
CHST9,mut_important,0.0
CHST9,cnv_del,0.0
CHST9,cnv_amp,4.270236e-06
CHST9,promoter,0.0
CHST8,mut_important,0.0
CHST8,cnv_del,0.0
CHST8,cnv_amp,2.8457064e-06
CHST8,promoter,-5.781707e-06
COL4A5,mut_important,0.0
COL4A5,cnv_del,0.0
COL4A5,cnv_amp,-7.6220254e-05
COL4A5,promoter,0.0013933775
COL4A4,mut_important,0.0
COL4A4,cnv_del,3.692414e-05
COL4A4,cnv_amp,0.0
COL4A4,promoter,0.00022852246
COL4A3,mut_important,0.0
COL4A3,cnv_del,0.0
COL4A3,cnv_amp,0.0
COL4A3,promoter,0.0007614392
COL4A2,mut_important,0.0
COL4A2,cnv_del,0.0
COL4A2,cnv_amp,7.7762976e-05
COL4A2,promoter,0.0018370313
COL4A1,mut_important,0.0
COL4A1,cnv_del,0.0
COL4A1,cnv_amp,0.004568251
COL4A1,promoter,0.008471285
SLC35D2,mut_important,0.0
SLC35D2,cnv_del,0.0
SLC35D2,cnv_amp,0.0
SLC35D2,promoter,0.0
CHST1,mut_important,0.0
CHST1,cnv_del,0.0
CHST1,cnv_amp,0.0
CHST1,promoter,0.0
CHST3,mut_important,0.0
CHST3,cnv_del,0.0
CHST3,cnv_amp,-2.361208e-05
CHST3,promoter,-0.00016151734
CHST2,mut_important,0.0
CHST2,cnv_del,0.0
CHST2,cnv_amp,0.0
CHST2,promoter,0.0
CHST5,mut_important,0.0
CHST5,cnv_del,0.0
CHST5,cnv_amp,0.0
CHST5,promoter,0.0
CHST4,mut_important,0.0
CHST4,cnv_del,0.0
CHST4,cnv_amp,0.0
CHST4,promoter,0.0
CHST7,mut_important,0.0
CHST7,cnv_del,-2.8137067e-06
CHST7,cnv_amp,0.0
CHST7,promoter,-0.00012919624
CHST6,mut_important,0.0
CHST6,cnv_del,0.0
CHST6,cnv_amp,0.0
CHST6,promoter,0.0
ITGAX,mut_important,0.0
ITGAX,cnv_del,0.0
ITGAX,cnv_amp,-0.00012793287
ITGAX,promoter,0.0
OR8J1,mut_important,0.0
OR8J1,cnv_del,0.0
OR8J1,cnv_amp,1.4412659e-05
OR8J1,promoter,0.0
BCL2A1,mut_important,0.0
BCL2A1,cnv_del,0.0
BCL2A1,cnv_amp,0.00013538168
BCL2A1,promoter,0.0
HLCS,mut_important,0.0
HLCS,cnv_del,0.0
HLCS,cnv_amp,1.0514517e-06
HLCS,promoter,1.7186157e-06
NOG,mut_important,0.0
NOG,cnv_del,0.0
NOG,cnv_amp,0.0
NOG,promoter,0.0
ITGAV,mut_important,0.0
ITGAV,cnv_del,0.0
ITGAV,cnv_amp,0.0
ITGAV,promoter,5.8254946e-06
HIBCH,mut_important,0.0
HIBCH,cnv_del,0.0
HIBCH,cnv_amp,6.1727274e-05
HIBCH,promoter,0.0
ZNF703,mut_important,0.0
ZNF703,cnv_del,0.0
ZNF703,cnv_amp,0.0
ZNF703,promoter,0.0
ITGAL,mut_important,0.0
ITGAL,cnv_del,0.0
ITGAL,cnv_amp,-0.0004466675
ITGAL,promoter,0.0
ITGAM,mut_important,0.0
ITGAM,cnv_del,0.0
ITGAM,cnv_amp,-0.0026217152
